feature,importance_mean,importance_std
root_ttr,0.013308555033907174,0.004644708081972184
ttr,0.013223787167449179,0.010860431423456662
herdans_c,0.012206572769953069,0.01201999934714995
sig_burstiness,0.009533124673969773,0.004367715277530411
redundancy,0.00886150234741787,0.01038830628592876
verbs_per_sent,0.008796296296296328,0.003735396237159104
formality_f,0.006624934793948907,0.007014255866024623
sconj_per_sent,0.002829942618675037,0.0022170440943013628
pos_noun_ratio,0.0027190923317684285,0.005116165834035399
pos_verb_ratio,0.0026212832550861005,0.0077903522497584305
pos_adv_ratio,0.002471309337506544,0.005589451900379301
sig_stopword_ratio,0.002360459050599928,0.001634267104623955
sig_uppercase_ratio,0.002314814814814847,0.0018722768235112607
pos_det_ratio,0.002308294209702681,0.0027973623923399043
sig_digit_ratio,0.001845331246739738,0.002425288209511415
ifsz,0.001551904016692777,0.0020794085996864767
sig_hedge_ratio,0.001075899843505501,0.0019501406464811654
pos_adp_ratio,0.0005998956703182364,0.0018639808662369722
sig_punct_ratio,0.0005933750652060699,0.004801880036970779
sig_se_per_sent,0.0004890453834116089,0.0022800216781027356
sig_excl_per_sent,2.590520390792032e-17,0.001032646473387024
sig_quotes_ratio,-0.00013693270735521217,0.002725183915937422
sig_intensifier_ratio,-0.00035211267605629685,0.0002336524891388549
sig_q_per_sent,-0.0004107981220656883,0.0013640538602653796
avg_dep_depth,-0.00046948356807508716,0.002576224981714293
sig_percent_ratio,-0.0005412102243087783,0.0005017477465626082
sig_repeated_char_ratio,-0.0005738132498695444,0.0011983729794116103
sig_proper_like_ratio,-0.0006064162754303067,0.0025914052950777033
sig_ellipsis_per_sent,-0.0006390193009910653,0.0004070027786731201
len_sent,-0.0015388628064684107,0.0022008756864367414
error_rate,-0.0017214397496087442,0.0018073254244837422
sig_avg_word_len,-0.0020800730307772223,0.0018540661561486092
pos_pron_ratio,-0.002327856025039103,0.006248635013802988
sig_long_word_ratio,-0.002875586854460055,0.002213253214415412
pos_adj_ratio,-0.0029212310902451614,0.0015143535072503769
